id,title,question,answer,tags,score,source_url
1,How do I read a CSV file in Python?,What is the simplest way to read a csv file in Python?,"Use the csv module for standard-library parsing. Open the file with newline='' and pass the handle to csv.DictReader when you want dictionaries keyed by column name. For data science workflows, pandas.read_csv is usually more convenient because it infers columns and returns a DataFrame.","csv,pandas,file-io",42,https://stackoverflow.com/questions/1
2,What is the difference between list and tuple?,When should I use a list instead of a tuple in Python?,"Lists are mutable, so use them when you need to append, remove, or replace items. Tuples are immutable and are a good fit for fixed records or values that should not change. Immutability also makes tuples hashable when all contained values are hashable.","list,tuple,immutability",39,https://stackoverflow.com/questions/2
3,How can I handle KeyError in a dictionary?,How do I avoid KeyError when reading from a dict?,"Use dict.get(key, default) when a missing key is expected. Use key in my_dict when you need to branch explicitly. Use try except KeyError when the missing key is exceptional or when the lookup and follow-up operation should stay together.","dictionary,keyerror,exception",35,https://stackoverflow.com/questions/3
4,Why does Python say ModuleNotFoundError?,Why am I getting ModuleNotFoundError after installing a package?,"The package is usually installed into a different Python environment than the one running your script. Check python -m pip show package_name, verify the active virtual environment, and run the script with the same interpreter used for installation. Also confirm that your local files do not shadow the package name.","pip,virtualenv,modulenotfounderror",51,https://stackoverflow.com/questions/4
5,How do I iterate over rows in pandas?,What is the best way to loop through pandas DataFrame rows?,"Prefer vectorized pandas operations when possible because they are faster and clearer. If you must iterate, use DataFrame.itertuples instead of iterrows for better performance and more stable dtypes. For row-wise custom logic, consider apply, but benchmark it on realistic data.","pandas,dataframe,iteration",44,https://stackoverflow.com/questions/5
6,What is a Python lambda?,How does lambda work in Python?,"A lambda creates a small anonymous function with a single expression. It is useful for simple callbacks, sort keys, or short transformations. Use def when the function needs statements, documentation, type hints, or enough logic that a name improves readability.","lambda,function,syntax",28,https://stackoverflow.com/questions/6
7,How do I parse JSON in Python?,How can I load a json string or file in Python?,"Use json.loads to parse a JSON string and json.load to parse JSON from an open file object. Use json.dumps or json.dump for serialization. Catch json.JSONDecodeError when input may be malformed.","json,parsing,serialization",31,https://stackoverflow.com/questions/7
8,Why is mutable default argument bad?,Why should I avoid list as a default argument in Python functions?,"Default argument values are evaluated once when the function is defined, not each time it is called. A mutable default such as [] can therefore keep state across calls. Use None as the default and create a new list inside the function.","function,default-arguments,mutability",58,https://stackoverflow.com/questions/8
9,How do I create a virtual environment?,What command creates a virtualenv for a Python project?,"Use python -m venv .venv to create an environment with the standard library venv module. Activate it, then install dependencies with python -m pip install -r requirements.txt so pip targets that environment.","venv,pip,environment",26,https://stackoverflow.com/questions/9
10,How do I sort a list of dictionaries?,How can I sort dictionaries in a list by a field?,"Pass a key function to sorted or list.sort. For example, sorted(rows, key=lambda row: row['name']) returns a new list sorted by the name field, while rows.sort mutates the existing list. Use operator.itemgetter for a concise key function.","sorting,dictionary,list",37,https://stackoverflow.com/questions/10
